delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,1486.57
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1394.56
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1131.74
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000007,yes,delayed,3,1632.7206
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000016,no,delivered,5,1475.36
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,3,1290.71
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,4,856.8
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000006,yes,delayed,2,1315.6
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,5,668.59
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,4,632.88
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,470.79
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,1049.98
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,4,520.63
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,4,146.97
250.99,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,4,367.67
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,3,1467.43
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000005,yes,delayed,2,845.38
250.99,dhl,clothing,truck,same day,south,cold,280.3,15.29,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,4,1547.37
250.99,dhl,documents,ev bike,two day,east,hot,230.8,30.01,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,1244.03
250.99,dhl,clothing,bike,express,west,clear,93.0,9.37,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,no,delivered,4,543.11
250.99,dhl,electronics,van,two day,west,clear,10.4,4.59,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000016,no,delivered,4,95.6674
250.99,dhl,groceries,bike,two day,north,cold,55.2,6.78,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000016,no,delivered,3,296.34
250.99,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000016,no,delivered,3,230.07
250.99,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,4,314.08
250.99,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000007,yes,delayed,2,1451.52
250.99,dhl,fragile items,truck,express,central,foggy,198.5,20.1,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,no,delivered,5,1102.8
250.99,dhl,documents,truck,same day,north,clear,265.3,31.8,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,1521.9
250.99,dhl,documents,scooter,same day,central,rainy,124.2,1.02,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,724.06
250.99,dhl,pharmacy,ev van,express,central,foggy,297.1,2.64,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000007,yes,delayed,3,1551.92
268.0,dhl,groceries,truck,two day,west,foggy,14.9,49.35,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,3,222.55
275.0,dhl,cosmetics,truck,same day,west,foggy,290.2,15.21,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000008,yes,delayed,3,1596.63
285.0,dhl,furniture,truck,same day,west,clear,54.3,47.84,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000008,no,delivered,5,515.02
298.0,dhl,clothing,ev van,same day,north,clear,164.1,25.8,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000008,no,delivered,5,997.9
301.0,dhl,clothing,ev van,standard,central,clear,40.9,19.04,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000024,no,delivered,5,261.62
332.0,dhl,furniture,van,standard,north,stormy,12.0,43.81,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,5,191.43
354.0,dhl,electronics,truck,same day,north,clear,271.2,21.93,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,delayed,3,1521.79
371.0,dhl,clothing,van,two day,north,cold,176.2,22.79,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,949.37
373.0,dhl,pharmacy,scooter,two day,north,clear,197.8,45.41,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,1125.23
374.0,dhl,cosmetics,scooter,express,north,hot,156.1,4.66,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000005,yes,delayed,3,844.48
379.0,dhl,cosmetics,bike,express,east,clear,81.7,46.02,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000003,yes,delayed,2,596.56
393.0,dhl,documents,truck,express,south,stormy,26.8,19.35,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000002,yes,delayed,3,242.05
407.0,dhl,groceries,truck,two day,east,rainy,127.3,25.67,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,713.51
425.0,dhl,fragile items,scooter,two day,north,foggy,193.9,30.19,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000016,no,delivered,4,1060.07
435.0,dhl,fragile items,bike,express,south,foggy,94.2,32.09,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000003,yes,failed,1,617.27
440.0,dhl,documents,bike,two day,central,cold,33.1,22.89,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000016,no,delivered,4,234.17
464.0,dhl,electronics,van,same day,south,cold,167.1,14.89,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,3,980.17
473.0,dhl,pharmacy,truck,same day,east,stormy,257.5,48.95,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000008,yes,delayed,2,1534.35
487.0,dhl,pharmacy,ev van,standard,north,rainy,224.4,26.14,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000024,no,delivered,5,1200.42
496.0,dhl,groceries,ev van,two day,central,cold,276.5,11.26,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000016,no,delivered,4,1416.28
498.0,dhl,groceries,bike,two day,east,clear,19.8,43.26,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,5,228.78
500.0,dhl,groceries,ev van,two day,south,foggy,55.0,42.01,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,5,401.03
521.0,dhl,groceries,scooter,two day,central,stormy,284.4,39.72,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000016,no,delivered,4,1541.16
547.0,dhl,documents,van,two day,central,stormy,32.6,30.39,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,254.17
552.0,dhl,electronics,ev bike,standard,north,rainy,253.8,47.66,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,3,1411.98
572.0,dhl,groceries,truck,same day,central,rainy,238.7,25.81,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,1370.93
576.0,dhl,fragile items,ev bike,same day,north,rainy,232.2,1.33,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,yes,delayed,3,1264.99
585.0,dhl,clothing,bike,express,north,foggy,221.3,44.63,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000006,yes,failed,2,1290.39
614.0,dhl,automobile parts,ev bike,express,south,hot,173.8,3.23,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,no,delivered,5,928.69
621.0,dhl,pharmacy,bike,same day,central,cold,220.8,23.0,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,1273.0
624.0,dhl,pharmacy,truck,same day,north,cold,155.9,10.86,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,912.08
627.0,dhl,fragile items,ev van,standard,central,clear,24.7,47.66,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000024,no,delivered,5,266.48
628.0,dhl,documents,bike,same day,south,stormy,18.6,16.18,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,delayed,3,241.54
630.0,dhl,clothing,truck,two day,east,clear,201.9,26.33,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1088.49
633.0,dhl,automobile parts,bike,same day,north,hot,184.2,42.49,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,1148.47
634.0,dhl,automobile parts,bike,standard,central,clear,257.6,14.39,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,5,1331.17
687.0,dhl,cosmetics,ev bike,standard,central,cold,92.2,31.78,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000024,no,delivered,5,556.34
732.0,dhl,fragile items,truck,express,west,foggy,237.3,11.28,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,no,delivered,3,1270.34
738.0,dhl,clothing,van,express,east,foggy,195.7,27.92,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000005,yes,delayed,3,1112.26
746.0,dhl,electronics,bike,same day,south,stormy,297.1,8.08,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000008,yes,delayed,2,1621.74
756.0,dhl,clothing,ev van,express,west,foggy,287.9,19.24,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000007,yes,delayed,3,1547.22
758.0,dhl,pharmacy,van,same day,west,hot,250.9,39.8,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,1473.9
765.0,dhl,documents,truck,two day,west,rainy,233.9,31.22,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000016,no,delivered,5,1263.16
770.0,dhl,automobile parts,ev bike,same day,central,rainy,239.6,11.51,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000008,yes,delayed,2,1332.53
777.0,dhl,automobile parts,scooter,two day,central,foggy,113.1,5.58,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,582.24
795.0,dhl,electronics,van,same day,north,clear,7.3,33.73,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,4,237.69
800.0,dhl,groceries,truck,standard,south,rainy,134.1,36.11,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,5,778.83
809.0,dhl,fragile items,bike,standard,east,hot,257.4,36.54,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,4,1396.62
907.0,dhl,fragile items,van,same day,south,hot,142.5,32.7,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,3,910.6
909.0,dhl,clothing,truck,express,south,rainy,179.9,39.62,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000005,yes,delayed,2,1068.36
913.0,dhl,clothing,ev bike,two day,south,hot,48.1,38.8,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,5,356.9
929.0,dhl,fragile items,scooter,same day,north,hot,267.3,0.67,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,1438.48
935.0,dhl,documents,ev van,two day,central,cold,197.9,49.24,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000016,no,delivered,4,1137.22
942.0,dhl,electronics,ev van,two day,east,stormy,11.3,28.0,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,4,140.5
954.0,dhl,cosmetics,scooter,same day,west,rainy,283.3,31.79,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,yes,delayed,2,1611.87
957.0,dhl,clothing,ev bike,standard,west,rainy,8.4,29.39,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,4,130.17
960.0,dhl,fragile items,truck,standard,west,foggy,141.6,32.59,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,4,805.77
962.0,dhl,clothing,van,same day,east,rainy,286.1,3.5,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,delayed,2,1541.0
